# STATION_ID | OWNER | TTYPE | HULL | NAME | PAYLOAD | LOCATION | TIMEZONE | FORECAST | NOTE
#
casm1|O|Water Level Observation Network||8418150 - Portland, ME||43.656 N 70.246 W (43&#176;39'22" N 70&#176;14'46" W)|E|FZUS51.KGYX |Caution: Right whales may be active in northeast waters year-round. NOAA may establish temporary Dynamic Management Areas (DMAs) to protect aggregations of right whales. Mariners are requested to transit DMAs at 10 knots or less when consistent with safe navigation. For information on currently active DMAs, go to: <a title="http://www.nmfs.noaa.gov/pr/shipstrike" href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><a href="http://rwhalesightings.nefsc.noaa.gov/">?</a>
cbbv2|O|Water Level Observation Network||8638863 - Chesapeake Bay Bridge Tunnel, VA||36.967 N 76.114 W (36&#176;58'1" N 76&#176;6'49" W)|E|FZUS51.KAKQ |Right whales are active off VA from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike"></a>
cbcm2|PT|Moored Buoy||Curtis Bay Ch. Entrance (8574837)||39.223 N 76.540 W (39&#176;13'24" N 76&#176;32'23" W)|E| |
cbim2|B|Coastal Marine Station||Chesapeake Biological Laboratory Weather Station MD||38.317 N 76.451 W (38&#176;19'2" N 76&#176;27'3" W)|E|FZUS51.KLWX |
cblo1|EA|GLOS Weather Station||Conneaut Breakwater Light, OH||41.981 N 80.556 W (41&#176;58'50" N 80&#176;33'20" W)|E| |
cbrw3|CE|GLOS Weather Station||Chambers Island, WI||45.198 N 87.360 W (45&#176;11'54" N 87&#176;21'35" W)|C| |
ccuf1|O|Water Level Observation Network||8726413 - C-Cut, St. Petersburg, FL||27.663 N 82.618 W (27&#176;39'47" N 82&#176;37'5" W)|E| |
cdea2|AK|Weather Station||Cape Decision, AK||56.001 N 134.136 W (56&#176;0'5" N 134&#176;8'9" W)|A| |For area forecasts and warnings, select: <a href="http://pajk.arh.noaa.gov/">Juneau WFO</a>
cdrf1|N|C-MAN Station||Cedar Key, FL|MARS payload|29.136 N 83.029 W (29&#176;8'10" N 83&#176;1'45" W)|E|FZUS52.KTBW |
cdxa2|MA|C-MAN Station||Cape Decision MXAK, AK||56.001 N 134.136 W (56&#176;0'5" N 134&#176;8'10" W)|A| |
cecc1|O|Water Level Observation Network||9419750 - Crescent City, CA||41.746 N 124.184 W (41&#176;44'44" N 124&#176;11'3" W)|P|FZUS56.KEKA |
cfwm1|O|Water Level Observation Network|| 8411060 - Cutler Farris Wharf, ME||44.657 N 67.205 W (44&#176;39'25" N 67&#176;12'17" W)|E| |
cgcl1|SH|Offshore Tower||Cognac||28.791 N 89.056 W (28&#176;47'27" N 89&#176;3'23" W)|C| |
chao3|O|Water Level Observation Network||9432780 - Charleston, OR||43.351 N 124.337 W (43&#176;21'3" N 124&#176;20'13" W)|P|FZUS56.KMFR |
chav3|O|Water Level Observation Network||9751639 - Charlotte Amalie, VI||18.335 N 64.920 W (18&#176;20'6" N 64&#176;55'11" W)|N|FZCA52.TJSJ |
chbv2|O|Water Level Observation Network||8638901 - Chesapeake Bay Bridge Tunnel, VA||37.032 N 76.083 W (37&#176;1'55" N 76&#176;4'59" W)|E|FZUS51.KAKQ |Right whales are active off VA from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike"></a>
chcm2|PT|Water Level Observation Network||8573927 - Chesapeake City, MD||39.527 N 75.810 W (39&#176;31'39" N 75&#176;48'36" W)|E|FZUS51.KLWX |
chds1|EA|Weather Station||Strom Thurmond Dam, SC||33.661 N 82.199 W (33&#176;39'41" N 82&#176;11'55" W)|E| |
chii2|G|C-MAN Station||Harrison-Dever Crib, Chicago, IL||41.916 N 87.572 W (41&#176;54'58" N 87&#176;34'20" W)|C|FZUS53.KLOT |
chlv2|N|C-MAN Station||Chesapeake Light, VA|DACT payload|36.905 N 75.713 W (36&#176;54'17" N 75&#176;42'46" W)|E|FZUS51.KAKQ |On 8/26/16, the Chesapeake Light Tower was disestablished due to deteriorating structural conditions. ?See the notice for more details.<br style="text-transform: none; text-indent: 0px; letter-spacing: normal; font-style: normal; font-variant: normal; font-weight: normal; font-size: 13px; line-height: normal; font-family: arial,sans-serif; white-space: normal; color: rgb(0, 0, 0); word-spacing: 0px; background-color: rgb(255, 255, 255);" /> <p><a href="https://www.weather.gov/media/notification/pdfs/scn16-30chesapeake_light_va.pdf">https://www.weather.gov/media/notification/pdfs/scn16-30chesapeake_light_va.pdf</a><br /></p> Right whales are active off VA from November to April.? Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast.? To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike">?</a>
chno3|NR|NERRS Weather Station||South Slough Reserve, OR ||43.345 N 124.329 W (43&#176;20'43" N 124&#176;19'43" W)|P| |Water Quality data for this Reserve are available at....<br /><a href="http://www.ndbc.noaa.gov/station_page.php?station=cwqo3">CWQO3</a> -- Charleston Bridge<br /><a href="http://www.ndbc.noaa.gov/station_page.php?station=soqo3">SOQO3</a> -- Valino Island<br /><a href="http://www.ndbc.noaa.gov/station_page.php?station=sloo3">SLOO3</a> -- Elliot Creek<br /><a href="http://www.ndbc.noaa.gov/station_page.php?station=chqo3">CHQO3</a>&nbsp;-- Winchester Arm
chqo3|NR|NERRS Water Quality Station||Winchester Arm - South Slough, OR||43.282 N 124.320 W (43&#176;16'57" N 124&#176;19'13" W)|P| |
chsv3|O|Water Level Observation Network||9751364 - Christiansted Harbor, St. Croix, VI||17.748 N 64.699 W (17&#176;44'53" N 64&#176;41'56" W)|N| |
chtm3|O|Water Level Observation Network||8447435 - Chatham, MA||41.688 N 69.950 W (41&#176;41'18" N 69&#176;57'0" W)|E| |Caution: Right whales may be active in northeast waters year-round. Mandatory speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the US east coast. Voluntary speed restrictions may be in effect in other areas and times. For current information on speed-restricted areas, go to: <a title="http://www.nmfs.noaa.gov/pr/shipstrike" href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><a title="http://www.nmfs.noaa.gov/pr/shipstrike" href="http://www.nmfs.noaa.gov/pr/shipstrike">
chts1|O|Water Level Observation Network||8665530 - Charleston, Cooper River Entrance, SC||32.781 N 79.924 W (32&#176;46'51" N 79&#176;55'25" W)|E|FZUS52.KCHS |
chyv2|PT|Water Level Observation Network||8638999 - Cape Henry, VA||36.926 N 76.007 W (36&#176;55'35" N 76&#176;0'26" W)|E| |For area forecasts and warnings, select: <a href="http://www.weather.gov/akq/">Wakefield WFO</a><br /><br />Right whales are active off VA from November to April.? Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast.? To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><br />
chyw1|O|Water Level Observation Network||9449424 - Cherry Point, WA||48.863 N 122.759 W (48&#176;51'46" N 122&#176;45'32" W)|P|FZUS56.KSEW |
ckyf1|O|Water Level Observation Network||8727520 - Cedar Key, FL||29.134 N 83.031 W (29&#176;8'2" N 83&#176;1'51" W)|| |
clbf1|P|Shorebased Tower||Clam Bayou, FL||27.736 N 82.686 W (27&#176;44'10" N 82&#176;41'10" W)|E|FZUS52.KTBW |
clbp4|O|Water Level Observation Network||9752235 - Culebra, PR||18.301 N 65.302 W (18&#176;18'3" N 65&#176;18'9" W)|N| |
clkn7|N|C-MAN Station||Cape Lookout, NC|MARS payload|34.622 N 76.525 W (34&#176;37'18" N 76&#176;31'30" W)|E|FZUS52.KMHX |Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<a href="http://www.nmfs.noaa.gov/pr/shipstrike/"></a>
cllt2|K|Shorebased Tower||8770933 - Clear Lake, TX||29.563 N 95.067 W (29&#176;33'48" N 95&#176;4'0" W)|C| |
clsm4|CE|GLOS Weather Station||St. Clair Shores, MI||42.471 N 82.877 W (42&#176;28'16" N 82&#176;52'36" W)|E| |For Great Lakes marine forecasts, select: <a href="https://www.weather.gov/marine/forecast">GREAT LAKES FORECASTS</a><br />
cman4|O|Water Level Observation Network||8536110 - Cape May, NJ||38.968 N 74.960 W (38&#176;58'4" N 74&#176;57'36" W)|E|FZUS51.KPHI |Right whales are active off Delaware Bay from November to April.&nbsp; Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast.&nbsp; To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><br />
cmln3|NH|Coastal Marine Station||Coastal Marine Lab, New Castle, NH||43.070 N 70.700 W (43&#176;4'12" N 70&#176;42'0" W)|E| |
cmpo1|EA|C-MAN Station||Camp Perry, OH||41.547 N 83.015 W (41&#176;32'49" N 83&#176;0'54" W)|E| |
cmti2|O|Water Level Observation Network||9087044 - Calumet Harbor, IL||41.730 N 87.538 W (41&#176;43'48" N 87&#176;32'18" W)|C|FZUS53.KLOT |
cnbf1|NP|Water Quality Station||Cannon Bay, FL||25.702 N 81.186 W (25&#176;42'7" N 81&#176;11'8" W)|E|FZUS52.KMFL |Water levels are referenced to local datums.&nbsp; They provide relative change in water level and are not to be used for navigation.
cndo1|O|Water Level Observation Network||9063063 - Cleveland, OH||41.542 N 81.637 W (41&#176;32'30" N 81&#176;38'12" W)|E| |For area forecasts and warnings, select: <a href="http://www.weather.gov/cle/">Cleveland WFO</a>
cnii2|CE|GLOS Weather Station||Northerly Isle, IL||41.856 N 87.609 W (41&#176;51'21" N 87&#176;36'34" W)|C| |
covm2|PT|Water Level Observation Network||8577018 - Cove Point LNG Pier, MD||38.402 N 76.385 W (38&#176;24'8" N 76&#176;23'7" W)|E|FZUS51.KLWX |
cpmw1|PT|Water Level Observation Network||9449419 - Cherry Point South Dock Met, WA||48.860 N 122.756 W (48&#176;51'37" N 122&#176;45'22" W)|P| |
cpnt2|K|Water Level Observation Network||8774513 - Copano Bay, TX ||28.114 N 97.024 W (28&#176;6'52" N 97&#176;1'28" W)|C| |
cpnw1|PT|Water Level Observation Network||9449427 - Cherry Point North Dock Met||48.863 N 122.758 W (48&#176;51'48" N 122&#176;45'29" W)|P|FZUS56.KSEW |
cptr1|PT|Water Level Observation Network||8452944 - Conimicut Light, RI||41.717 N 71.345 W (41&#176;43'1" N 71&#176;20'42" W)|E|FZUS51.KBOX |
cpvm2|PT|Water Level Observation Network||8575437 - Chesapeake Bay Bridge Visibility, MD||38.995 N 76.388 W (38&#176;59'41" N 76&#176;23'17" W)|E| |
cpxa2|MA|C-MAN Station||Captains Bay||53.843 N 166.583 W (53&#176;50'34" N 166&#176;35'0" W)|A| |
cpxc1|CP|Coastal Marine Station||Cal Poly Pier, CA||35.170 N 120.741 W (35&#176;10'12" N 120&#176;44'27" W)|P| |
cquc1|CN|Water Quality Station||Carquinez, CA||38.066 N 122.230 W (38&#176;3'57" N 122&#176;13'49" W)|P| |For area forecasts and warnings, select:&nbsp;<a href="http://www.wrh.noaa.gov/mtr/">San Francisco/Monterey WFO</a>
crga2|AK|C-MAN Station||Craig, AK||55.474 N 133.136 W (55&#176;28'26" N 133&#176;8'10" W)|A| |
crta1|DI|C-MAN Station||Cedar Point, AL||30.308 N 88.140 W (30&#176;18'30" N 88&#176;8'22" W)|C| |
crva2|O|Water Level Observation Network||9454050 - Cordova, AK||60.558 N 145.752 W (60&#176;33'30" N 145&#176;45'6" W)|A| |
cryv2|PT|Water Level Observation Network||8638595 - South Craney Island, VA||36.888 N 76.338 W (36&#176;53'18" N 76&#176;20'18" W)|E| |For area forecasts and warnings, select: <a href="http://www.weather.gov/akq/">Wakefield WFO</a>
csbf1|N|C-MAN Station||Cape San Blas, FL|MARS payload|29.672 N 85.357 W (29&#176;40'18" N 85&#176;21'24" W)|E|FZUS52.KTAE |Station CSBF1 has been replaced with <a href="/station_page.php?station=sgof1">Station SGOF1</a>
cspa2|AK|Weather Station||Cape Spencer, AK||58.199 N 136.640 W (58&#176;11'56" N 136&#176;38'24" W)|A|FZAK51.PAJK |
csxa2|MA|C-MAN Station||Cape Spencer WX||58.199 N 136.641 W (58&#176;11'57" N 136&#176;38'26" W)|A| |
ctgm1|O|Water Level Observation Network||8411250 - Cutler, ME||44.642 N 67.297 W (44&#176;38'30" N 67&#176;17'48" W)|E| |
cvqv2|NR|NERRS Water Quality Station||Sweethall Pier, Chesapeake Bay Reserve, VA||37.571 N 76.884 W (37&#176;34'17" N 76&#176;53'2" W)|E| |
cwaf1|NP|Water Quality Station||Clear Water Pass, FL ||25.297 N 81.013 W (25&#176;17'48" N 81&#176;0'47" W)|E|FZUS52.KMFL |
cwbf1|O|Water Level Observation Network||8726724 - Clearwater Beach, FL||27.978 N 82.832 W (27&#176;58'40" N 82&#176;49'55" W)|E|FZUS52.KTBW |
cwci|C|Weather Station||Caribou Island||47.334 N 85.833 W (47&#176;20'1" N 85&#176;49'58" W)|C| |
cwqo3|NR|NERRS Water Quality Station||Charleston Bridge, South Slough Reserve, OR||43.338 N 124.321 W (43&#176;20'18" N 124&#176;19'14" W)|P| |
cwqt2|NR|NERRS Water Quality Station||Copano Bay East, Mission-Aransas Reserve, TX||28.132 N 97.034 W (28&#176;7'56" N 97&#176;2'4" W)|C| |
cwsec|N|Test station||Cold Weather SCOOP Environment Canada (CWSEC)|SCOOP payload|44.233 N 79.779 W (44&#176;14'0" N 79&#176;46'45" W)|E| |
cwssj|N|Test station||Cold Weather SCOOP St John's|SCOOP payload|47.513 N 52.783 W (47&#176;30'47" N 52&#176;46'58" W)|N| |
cygm4|CE|GLOS Weather Station||Cheboygan Marina, MI||45.658 N 84.464 W (45&#176;39'28" N 84&#176;27'51" W)|E| |
darth|N|2.6-meter discus buoy||Test|DART II payload|30.357 N 89.612 W (30&#176;21'24" N 89&#176;36'45" W)|?| |Data from this site are provided for internal use only.  This is NOT an operational DART station.  These are test data only
darti|N|2.6-meter discus buoy||Test|DART II payload|30.357 N 89.613 W (30&#176;21'24" N 89&#176;36'45" W)|?| | <p>Data from this site are provided for internal use only. This is NOT an operational DART station. These are test data only.</p>
dartj|N|2.6-meter discus buoy||Test|DART II payload|30.357 N 89.613 W (30&#176;21'24" N 89&#176;36'45" W)|?| |Data from this site are provided for internal use only.  This is NOT an operational DART station.  These are test data only.
dartk|N|2.6-meter discus buoy||Test|DART II payload|30.357 N 89.613 W (30&#176;21'24" N 89&#176;36'45" W)|?| |Data from this site are provided for internal use only.  This is NOT an operational DART station.  These are test data only.
dartl|N|2.6-meter discus buoy||Test|DART II payload|30.357 N 89.613 W (30&#176;21'24" N 89&#176;36'45" W)|?| |Data from this site are provided for internal use only.  This is NOT an operational DART station.  These are test data only.
dartm|N|2.6-meter discus buoy||Test|DART II payload|30.357 N 89.613 W (30&#176;21'24" N 89&#176;36'45" W)|?| |Data from this site are provided for internal use only.  This is NOT an operational DART station.  These are test data only.
dartn|N|2.6-meter discus buoy||Test|DART II payload|30.357 N 89.613 W (30&#176;21'24" N 89&#176;36'45" W)|?| |Data from this site are provided for internal use only.  This is NOT an operational DART station.  These are test data only.
darto|N|2.6-meter discus buoy||Test|DART II payload|30.357 N 89.613 W (30&#176;21'24" N 89&#176;36'45" W)|?| |Data from this site are provided for internal use only.  This is NOT an operational DART station.  These are test data only.
dartp|N|2.6-meter discus buoy||Test|DART II payload|30.357 N 89.613 W (30&#176;21'24" N 89&#176;36'45" W)|?| |Data from this site are provided for internal use only.  This is NOT an operational DART station.  These are test data only.
dartq|N|2.6-meter discus buoy||Test|DART II payload|30.357 N 89.613 W (30&#176;21'24" N 89&#176;36'45" W)|?| |Data from this site are provided for internal use only.  This is NOT an operational DART station.  These are test data only.
dartr|N|2.6-meter discus buoy||TEST|DART II payload|30.357 N 89.612 W (30&#176;21'24" N 89&#176;36'45" W)|?| |Data from this site are provided for internal use only. This is NOT an operational DART station. These are test data only.
darts|N|2.6-meter discus buoy||TEST|DART II payload|30.357 N 89.612 W (30&#176;21'24" N 89&#176;36'45" W)|?| |Data from this site are provided for internal use only. This is NOT an operational DART station. These are test data only.
dartt|N|2.6-meter discus buoy||TEST|DART II payload|30.357 N 89.612 W (30&#176;21'24" N 89&#176;36'45" W)|?| |Data from this site are provided for internal use only. This is NOT an operational DART station. These are test data only.
dartu|N|2.6-meter discus buoy||TEST|DART II payload|30.357 N 89.612 W (30&#176;21'24" N 89&#176;36'45" W)|?| |Data from this site are provided for internal use only. This is NOT an operational DART station. These are test data only
dbln6|N|C-MAN Station||Dunkirk, NY|MARS payload|42.494 N 79.354 W (42&#176;29'37" N 79&#176;21'14" W)|E|FZUS51.KBUF |
dbqs1|NR|NERRS Water Quality Station||Debidue Creek - North Inlet - Winyah Bay, SC||33.360 N 79.167 W (33&#176;21'37" N 79&#176;10'3" W)|E| |
deld1|PT|Water Level Observation Network||8551762 - Delaware City, DE||39.582 N 75.589 W (39&#176;34'56" N 75&#176;35'20" W)|E| |For area forecasts and warnings, select: <a href="http://www.weather.gov/phi/">Philadelphia-Mt Holly WFO</a>
demo2|LR|Test station||NDBC Demo Glider #2||39.918 N 71.940 W (39&#176;55'5" N 71&#176;56'24" W)|E| |Glider data are not quality controlled by NDBC.<br /><br />Click? <a title="here" href="http://www.ndbc.noaa.gov/nws_special/demo2.txt" shape="rect">here</a>? to see latest positions.<br />
deqd1|NR|NERRS Water Quality Station||Lebanon Landing, Delaware Reserve, DE||39.114 N 75.499 W (39&#176;6'52" N 75&#176;29'57" W)|E| |
desw1|N|C-MAN Station||Destruction Island, WA|MARS payload|47.675 N 124.485 W (47&#176;40'30" N 124&#176;29'6" W)|C|FZUS56.KSEW |
dhxa2|MA|C-MAN Station||Deadhorse, AK||70.222 N 148.419 W (70&#176;13'20" N 148&#176;25'9" W)|A| |
dila1|O|Water Level Observation Network||8735180 - Dauphin Island, AL ||30.250 N 88.075 W (30&#176;15'1" N 88&#176;4'30" W)|| |
disw3|N|C-MAN Station||Devils Island, WI|Sutron XPERT payload|47.079 N 90.728 W (47&#176;4'46" N 90&#176;43'42" W)|C| |
dkcm6|O|Water Level Observation Network||8741501 - Dock C, Port of Pascagoula, MS||30.356 N 88.567 W (30&#176;21'21" N 88&#176;34'1" W)|C| |
dkkf1|NP|Water Quality Station||Duck Key, FL||25.180 N 80.490 W (25&#176;10'48" N 80&#176;29'24" W)|E|FZUS52.KKEY |Water levels are referenced to local datums.&nbsp; They provide relative change in water level and are not to be used for navigation.
dmbc1|EB|CICORE water quality station||Dumbarton Bridge at Newark, CA||37.507 N 122.117 W (37&#176;30'25" N 122&#176;7'0" W)|P| |
dmno3|CM|Coastal Marine Station||Desdemona Sands Light, OR||46.226 N 123.955 W (46&#176;13'33" N 123&#176;57'18" W)|P|FZUS56.KPQR |Station disestablished 01/09/2019.
dmsf1|PT|Water Level Observation Network||8720219 - Dames Point, FL||30.387 N 81.559 W (30&#176;23'14" N 81&#176;33'33" W)|E| |
domv2|PT|Water Level Observation Network||8638511 - Dominion Terminal Associates, VA||36.962 N 76.424 W (36&#176;57'44" N 76&#176;25'27" W)|E| |
dpha1|DI|Coastal Marine Station||Dauphin Island Sea Lab, AL||30.251 N 88.078 W (30&#176;15'5" N 88&#176;4'40" W)|C| |
dpia1|N|C-MAN Station||Dauphin Island, AL|Sutron XPERT payload|30.250 N 88.075 W (30&#176;15'1" N 88&#176;4'30" W)|C|FZUS54.KMOB |On 02/28/2023, Dauphin Island was disestablished. See the notice below for more details.<br style="text-transform: none; text-indent: 0px; letter-spacing: normal; font-style: normal; font-variant: normal; font-weight: normal; font-size: 13px; line-height: normal; font-family: arial,sans-serif; white-space: normal; color: rgb(0, 0, 0); word-spacing: 0px; background-color: rgb(255, 255, 255);" /> <p><a href="https://www.weather.gov/media/notification/pdf_2023_24/scn23-04_ndbc_dpia1.pdf">Disestablishment of C-MAN Station DPIA1 - Dauphin Island, Alabama</a>
dpla2|MA|C-MAN Station||Dutch Harbor APL, AK||53.884 N 166.531 W (53&#176;53'1" N 166&#176;31'53" W)|A| |
dpoa2|MA|C-MAN Station||Dutch Harbor Port Office, AK||53.903 N 166.528 W (53&#176;54'10" N 166&#176;31'42" W)|A| |
dpxa2|MA|C-MAN Station||Dutch Harbor Pilot Station, AK||53.889 N 166.542 W (53&#176;53'21" N 166&#176;32'32" W)|A| |
dpxc1|PT|Water Level Observation Network||9415141 - Davis Point, San Pablo Bay, CA||38.056 N 122.264 W (38&#176;3'22" N 122&#176;15'51" W)|P| |
drfa2|N|C-MAN Station||Drift River Terminal, AK|MARS payload|60.553 N 152.137 W (60&#176;33'12" N 152&#176;8'12" W)|A|FZAK51.PAFC |Station disestablished 02/09/2022.
drsd1|NR|NERRS Weather Station||Saint Jones River, Delaware Reserve, DE||39.089 N 75.437 W (39&#176;5'20" N 75&#176;26'13" W)|E| |Water Quality data for this Reserve are available at....<br /> <a href="https://www.ndbc.noaa.gov/station_page.php?station=scld1">SCLD1</a> -- Scotton Landing<br />
dryf1|N|C-MAN Station||Dry Tortugas, FL|MARS payload|24.638 N 82.862 W (24&#176;38'18" N 82&#176;51'42" W)|E|FZUS52.KKEY |Station DRYF1 failed on September 21, 2005. It has been replaced with a station installed nearby at Pulaski Shoal Light, <a href="/station_page.php?station=plsf1">PLSF1</a>
dsln7|N|C-MAN Station||Diamond Shls Lt., NC|DACT payload|35.153 N 75.297 W (35&#176;9'12" N 75&#176;17'48" W)|E|FZUS52.KMHX |<a href="/station_page.php?station=41025">Station 41025</a>, the replacement station for DSLN7, was deployed on March 28, 2003.
dtlm4|O|Water Level Observation Network||9075099 - De Tour Village, MI||45.993 N 83.898 W (45&#176;59'33" N 83&#176;53'54" W)|E| |
ducn7|N|C-MAN Station||Duck Pier, NC|ARES payload|36.184 N 75.745 W (36&#176;11'3" N 75&#176;44'43" W)|E|FZUS52.KMHX |Station DUCN7 failed on 07/31/2008. Meteorological data for this location is available at <a title="DUKN7" href="http://www.ndbc.noaa.gov/station_page.php?station=dukn7">DUKN7</a>.<br /><br /><br />
dukn7|O|Water Level Observation Network|| 8651370 - Duck Pier, NC ||36.184 N 75.746 W (36&#176;11'1" N 75&#176;44'44" W)|E| |Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike/">http://www.nmfs.noaa.gov/pr/shipstrike/</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike/">&nbsp;</a>
dulm5|O|Water Level Observation Network||9099064 - Duluth, MN||46.776 N 92.092 W (46&#176;46'32" N 92&#176;5'31" W)|C| |
eazc1|NR|NERRS Water Quality Station||Azevedo Pond, Elkhorn Slough Reserve, CA||36.846 N 121.754 W (36&#176;50'45" N 121&#176;45'14" W)|P| |
eb01|N|12-meter discus buoy||||36.500 N 73.500 W (36&#176;30'0" N 73&#176;30'0" W)|| |
eb10|N|12-meter discus buoy|||EEP payload|27.500 N 88.000 W (27&#176;30'0" N 88&#176;0'0" W)|C| |
eb31|N|12-meter discus buoy|||LCB payload|27.000 N 86.000 W (27&#176;0'0" N 86&#176;0'0" W)|| |
eb32|N|12-meter discus buoy|||LCB payload|27.000 N 84.300 W (27&#176;0'0" N 84&#176;17'60" W)|| |
eb33|N|6-meter NOMAD buoy|||MVXI payload|58.500 N 141.000 W (58&#176;30'0" N 141&#176;0'0" W)|A| |
eb35|N|6-meter NOMAD buoy|||MVXI payload|55.300 N 157.000 W (55&#176;17'60" N 157&#176;0'0" W)|A| |
eb36|N|USCG Large Navigational Buoy|||LCB payload|26.000 N 84.800 W (26&#176;0'0" N 84&#176;47'60" W)|?| |
eb43|N|6-meter NOMAD buoy|||MVXI payload|59.800 N 142.000 W (59&#176;47'60" N 142&#176;0'0" W)|A| |
eb52|N|USCG Large Navigational Buoy||||38.400 N 74.300 W (38&#176;23'60" N 74&#176;17'60" W)|| |
eb53|N|USCG Large Navigational Buoy|||DACT payload|28.900 N 88.300 W (28&#176;53'60" N 88&#176;17'60" W)|E| |
eb61|N|GE|||LCB payload|26.900 N 84.600 W (26&#176;53'60" N 84&#176;35'60" W)|?| |
eb62|N|USCG Large Navigational Buoy|||DACT payload|29.000 N 85.600 W (29&#176;0'0" N 85&#176;35'60" W)|E| |
eb70|N|12-meter discus buoy|||MVXII payload|59.500 N 142.300 W (59&#176;30'0" N 142&#176;18'0" W)|A| |
eb90|N|12-meter discus buoy| 02|BERING SEA|DACT payload|47.000 N 130.900 W (47&#176;0'0" N 130&#176;54'0" W)|A|FZAK61.PAFC |
eb91|N|USCG Large Navigational Buoy|||DACT payload|38.400 N 74.300 W (38&#176;23'60" N 74&#176;17'60" W)|E| |
eb92|N|USCG Large Navigational Buoy|||DACT payload|28.500 N 90.000 W (28&#176;30'0" N 90&#176;0'0" W)|E| |
ebef1|PT|Water Level Observation Network||8726674 - East Bay, FL||27.923 N 82.421 W (27&#176;55'23" N 82&#176;25'17" W)|E| |
ebsw1|O|Water Level Observation Network||9447130 - Seattle, WA||47.602 N 122.338 W (47&#176;36'6" N 122&#176;20'18" W)|P|FZUS56.KSEW |
efla1|PT|Water Level Observation Network||8734536 - E Range Front Light Visibility, AL||30.429 N 88.010 W (30&#176;25'43" N 88&#176;0'35" W)|C|FZUS54.KMOB |
egkf1|P|Shorebased Tower||EGK - Egmont Key, FL||27.601 N 82.759 W (27&#176;36'5" N 82&#176;45'33" W)|E|FZUS52.KTBW |
ehsc1|NR|NERRS Water Quality Station||North Marsh, Elkhorn Slough Reserve, CA||36.835 N 121.738 W (36&#176;50'5" N 121&#176;44'18" W)|P| |
einl1|PT|Water Level Observation Network||8764314 - North of Eugene Island, LA||29.373 N 91.384 W (29&#176;22'23" N 91&#176;23'2" W)|C|FZUS54.KLCH |
elfa2|O|Water Level Observation Network||9452634 - Elfin Cove, AK||58.193 N 136.347 W (58&#176;11'35" N 136&#176;20'48" W)|A| |
elqc1|NR|NERRS Water Quality Station||South Marsh, Elkhorn Slough Reserve, CA||36.818 N 121.739 W (36&#176;49'5" N 121&#176;44'22" W)|P| |
elxc1|NR|NERRS Weather Station||Caspian Weather Station, Elkhorn Slough Reserve, CA||36.815 N 121.738 W (36&#176;48'56" N 121&#176;44'18" W)|P| |Water Quality data for this Reserve are available at....<br /><a href="https://www.ndbc.noaa.gov/station_page.php?station=elqc1">ELQC1</a> -- South Marsh<br /><a href="https://www.ndbc.noaa.gov/station_page.php?station=evmc1">EVMC1</a> -- Vierra Mouth<br /><a href="https://www.ndbc.noaa.gov/station_page.php?station=eazc1">EAZC1</a> -- Azevedo Pond<br /><a href="https://www.ndbc.noaa.gov/station_page.php?station=ehsc1">EHSC1</a> -- North Marsh<br />
emat2|K|Water Level Observation Network||8773146 - Matagorda City, TX||28.710 N 95.914 W (28&#176;42'36" N 95&#176;54'50" W)|C| |
